,subjID,edgeRT,model,trial,group,block,logRT_ms
66,s14,2378.0,Bayes Optimal Teacher,21.0,Congruent,test,7.774015077250727
67,s14,2516.0,Bayes Optimal Teacher,22.0,Congruent,test,7.830425617820331
68,s14,5059.0,Bayes Optimal Teacher,23.0,Congruent,test,8.528924114291936
69,s14,6660.0,Bayes Optimal Teacher,24.0,Congruent,test,8.803874763534434
70,s15,1805.0,Reward Heuristic,19.0,Congruent,test,7.498315870766981
71,s15,1649.0,Reward Heuristic,20.0,Congruent,test,7.407924322559599
72,s15,12956.0,Reward Heuristic,21.0,Congruent,test,9.46931428029122
73,s15,1628.0,Reward Heuristic,22.0,Congruent,test,7.395107546562485
74,s15,5107.0,Reward Heuristic,23.0,Congruent,test,8.538367426647644
75,s16,2859.0,Bayes Optimal Teacher,20.0,Incongruent,test,7.958227192322312
76,s16,8213.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.013473543740192
77,s16,9242.0,Bayes Optimal Teacher,22.0,Incongruent,test,9.131513591430211
78,s16,3025.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.014666370464942
79,s16,10719.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.27977314669152
80,s17,11123.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.316770315592029
81,s17,3848.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.255308811785596
82,s17,4108.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.32069157104845
83,s17,6255.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.741136422901011
84,s17,15271.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.633710883953182
85,s18,9673.0,Reward Heuristic,20.0,Congruent,test,9.177093778182547
86,s18,8713.0,Reward Heuristic,21.0,Congruent,test,9.072571442231286
87,s18,18136.0,Reward Heuristic,22.0,Congruent,test,9.805654192187365
88,s18,7273.0,Reward Heuristic,23.0,Congruent,test,8.89192414015454
89,s18,17503.0,Reward Heuristic,24.0,Congruent,test,9.770127573790836
90,s19,8253.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.018332049592685
91,s19,8295.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.023408202624545
92,s19,1918.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.559038255443384
93,s19,5338.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.58260632996447
94,s19,7687.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.947285869349132
95,s20,3445.0,Bayes Optimal Teacher,20.0,Congruent,test,8.144679183447758
96,s20,4420.0,Bayes Optimal Teacher,21.0,Congruent,test,8.393894975071744
97,s20,3230.0,Bayes Optimal Teacher,22.0,Congruent,test,8.080237416216702
98,s20,1968.0,Bayes Optimal Teacher,23.0,Congruent,test,7.584773077612199
99,s20,7485.0,Bayes Optimal Teacher,24.0,Congruent,test,8.920656296853728
100,s21,2603.0,Bayes Optimal Teacher,20.0,Incongruent,test,7.864419904994565
101,s21,2003.0,Bayes Optimal Teacher,21.0,Incongruent,test,7.602401335665818
102,s21,1332.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.194436851100335
103,s21,2445.0,Bayes Optimal Teacher,23.0,Incongruent,test,7.801800401908973
104,s21,13209.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.488653694423864
105,s22,3561.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.177796683277778
106,s22,6415.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.766394277049736
107,s22,2275.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.729735331385051
108,s22,7268.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.891236429516061
109,s22,8946.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.098961783992793
110,s23,5433.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.600246746551523
111,s23,3231.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.080546965824498
112,s23,5700.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.648221453822641
113,s23,3510.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.163371316459912
114,s23,4449.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.400434630806041
115,s24,8690.0,Bayes Optimal Teacher,20.0,Congruent,test,9.069928218259438
116,s24,4409.0,Bayes Optimal Teacher,21.0,Congruent,test,8.391403185357937
117,s24,3620.0,Bayes Optimal Teacher,22.0,Congruent,test,8.194229304819817
118,s24,10721.0,Bayes Optimal Teacher,23.0,Congruent,test,9.27995971385624
119,s24,9485.0,Bayes Optimal Teacher,24.0,Congruent,test,9.157466882369114
120,s25,5408.0,Reward Heuristic,20.0,Incongruent,test,8.5956346177228
121,s25,6065.0,Reward Heuristic,21.0,Incongruent,test,8.71028982137815
122,s25,11166.0,Reward Heuristic,22.0,Incongruent,test,9.320628725870305
123,s25,7225.0,Reward Heuristic,23.0,Incongruent,test,8.885302512980633
124,s25,7764.0,Reward Heuristic,24.0,Incongruent,test,8.957252944288902
125,s26,11590.0,Reward Heuristic,19.0,Incongruent,test,9.357897936333798
126,s26,12542.0,Reward Heuristic,20.0,Incongruent,test,9.436838291102966
127,s26,18735.0,Reward Heuristic,21.0,Incongruent,test,9.838148711227788
128,s26,4642.0,Reward Heuristic,22.0,Incongruent,test,8.442900586834382
129,s26,7462.0,Reward Heuristic,23.0,Incongruent,test,8.917578753781104
130,s27,12351.0,Reward Heuristic,20.0,Congruent,test,9.421492310438014
131,s27,6455.0,Reward Heuristic,21.0,Congruent,test,8.772610303280743
132,s27,6179.0,Reward Heuristic,22.0,Congruent,test,8.72891172506098
133,s27,4991.0,Reward Heuristic,23.0,Congruent,test,8.515391569469609
134,s27,6525.0,Reward Heuristic,24.0,Congruent,test,8.783396232190894
135,s28,12344.0,Bayes Optimal Teacher,20.0,Congruent,test,9.420925394042996
136,s28,4720.0,Bayes Optimal Teacher,21.0,Congruent,test,8.459564078579602
137,s28,6924.0,Bayes Optimal Teacher,22.0,Congruent,test,8.8427489162961
138,s28,4416.0,Bayes Optimal Teacher,23.0,Congruent,test,8.392989587956931
139,s28,11668.0,Bayes Optimal Teacher,24.0,Congruent,test,9.364605330987612
140,s29,9883.0,Bayes Optimal Teacher,20.0,Congruent,test,9.198571388376184
141,s29,3006.0,Bayes Optimal Teacher,21.0,Congruent,test,8.00836557031292
142,s29,2436.0,Bayes Optimal Teacher,22.0,Congruent,test,7.798112628829788
143,s29,1983.0,Bayes Optimal Teacher,23.0,Congruent,test,7.592366128519796
144,s29,5625.0,Bayes Optimal Teacher,24.0,Congruent,test,8.63497622707262
145,s30,5138.0,Reward Heuristic,20.0,Congruent,test,8.544419177669829
146,s30,2616.0,Reward Heuristic,21.0,Congruent,test,7.86940171257709
147,s30,7030.0,Reward Heuristic,22.0,Congruent,test,8.857941984804711
148,s30,2287.0,Reward Heuristic,23.0,Congruent,test,7.734996194022781
149,s30,11742.0,Reward Heuristic,24.0,Congruent,test,9.37092743662413
150,s31,5195.0,Reward Heuristic,20.0,Incongruent,test,8.555451903533328
151,s31,11748.0,Reward Heuristic,21.0,Incongruent,test,9.37143829231851
152,s31,4905.0,Reward Heuristic,22.0,Incongruent,test,8.498010371999463
153,s31,3449.0,Reward Heuristic,23.0,Incongruent,test,8.145839612936841
154,s31,14913.0,Reward Heuristic,24.0,Incongruent,test,9.609988594762783
155,s32,1547.0,Bayes Optimal Teacher,20.0,Incongruent,test,7.344072850573066
156,s32,2112.0,Bayes Optimal Teacher,21.0,Incongruent,test,7.655390644826152
157,s32,3065.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.027802848370312
158,s32,2874.0,Bayes Optimal Teacher,23.0,Incongruent,test,7.96346006663897
159,s32,16412.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.705768053562077
160,s33,5814.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.668024081118821
161,s33,6650.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.8023721336499
